459,Basti,Uttar Pradesh,N.A.
460,Bijnor,Uttar Pradesh,969.2
461,Bulandshahr,Uttar Pradesh,N.A.
462,Deoria,Uttar Pradesh,N.A.
463,Etah,Uttar Pradesh,N.A.
464,Etawah,Uttar Pradesh,754.8
465,Faizabad,Uttar Pradesh,N.A.
466,Farrukhabad,Uttar Pradesh,N.A.
467,Fatehpur,Uttar Pradesh,N.A.
468,Firozabad,Uttar Pradesh,N.A.
469,Ghaziabad,Uttar Pradesh,N.A.
470,Ghazipur,Uttar Pradesh,N.A.
471,Gonda,Uttar Pradesh,N.A.
472,Gorakhpur,Uttar Pradesh,1716.7
473,Hamirpur,Uttar Pradesh,N.A.
474,Hardoi,Uttar Pradesh,N.A.
475,Jalaun,Uttar Pradesh,N.A.
476,Jaunpur,Uttar Pradesh,N.A.
477,Jhansi,Uttar Pradesh,1169.6
478,Jyotiba Phule Nagar,Uttar Pradesh,N.A.
479,Kanpur City,Uttar Pradesh,N.A.
480,Kanpur Dehat,Uttar Pradesh,N.A.
481,Kheri,Uttar Pradesh,N.A.
482,Lalitpur,Uttar Pradesh,N.A.
483,Lucknow,Uttar Pradesh,1459.4
484,Mahamaya Nagar,Uttar Pradesh,N.A.
485,Maharajganj,Uttar Pradesh,N.A.
486,Mainpuri,Uttar Pradesh,N.A.
487,Mathura,Uttar Pradesh,N.A.
488,Mau,Uttar Pradesh,N.A.
489,Meerut,Uttar Pradesh,437.4
490,Mirzapur,Uttar Pradesh,N.A.
491,Moradabad,Uttar Pradesh,N.A.
492,Muzaffarnagar,Uttar Pradesh,N.A.
493,Pilibhit,Uttar Pradesh,N.A.
494,Pratapgarh,Uttar Pradesh,N.A.
495,Raebareilly,Uttar Pradesh,N.A.
496,Rampur,Uttar Pradesh,N.A.
497,Saharanpur,Uttar Pradesh,N.A.
498,Sahuji MaharajNagar,Uttar Pradesh,N.A.
499,Sant Ravidas Nagar,Uttar Pradesh,N.A.
500,Shahjahanpur,Uttar Pradesh,N.A.
501,Shrawasti Nagar,Uttar Pradesh,N.A.
502,Siddharth Nagar,Uttar Pradesh,N.A.
503,Sitapur,Uttar Pradesh,N.A.
504,Sonbhadra,Uttar Pradesh,N.A.
505,Sultanpur,Uttar Pradesh,1165.9
506,Unnao,Uttar Pradesh,N.A.
507,Varanasi,Uttar Pradesh,N.A.
508,BANKURA,West Bengal,1557.9
509,BIRBHUM,West Bengal,1399.3
510,BURDWAN,West Bengal,1638.3
511,COOCH BEHAR,West Bengal,2830.6
512,DARJEELING,West Bengal,3316.1
513,HOOGHLY,West Bengal,1424.3
514,HOWRAH,West Bengal,N.A.
515,JALPAIGURI,West Bengal,3559.3
516,MALDA,West Bengal,1503.4
517,MIDNAPORE,West Bengal,1904.9
518,MURSHIDABAD,West Bengal,1173.8
519,NADIA,West Bengal,1480.2
520,NORTH 24 PARGANAS,West Bengal,1484.7
521,NORTH DINAJPUR,West Bengal,N.A.
522,PURULIA,West Bengal,1383.4
523,SOUTH 24 PARGANAS,West Bengal,1622.6
524,SOUTH DINAJPUR,West Bengal,1296.8
